Date,Open,High,Low,Close,Adj Close,Volume
2019-10-17,1153.949951,1179.699951,1139.050049,1162.699951,1146.176514,54846
2019-10-18,1167.000000,1235.000000,1156.500000,1217.949951,1200.641357,50728
2019-10-22,1218.000000,1249.800049,1201.650024,1209.699951,1192.508667,44688
2019-10-23,1214.900024,1234.150024,1196.349976,1224.099976,1206.703979,44711
2019-10-24,1229.000000,1244.000000,1201.550049,1207.199951,1190.044067,42314
2019-10-25,1208.099976,1246.699951,1186.000000,1219.050049,1201.725708,55629
2019-10-27,1230.599976,1248.800049,1202.300049,1213.449951,1196.205322,28255
2019-10-29,1224.000000,1234.750000,1205.000000,1230.300049,1212.815796,42002
2019-10-30,1237.949951,1248.800049,1219.000000,1232.650024,1215.132446,43411
2019-10-31,1238.099976,1249.500000,1200.000000,1217.150024,1199.852783,48001
2019-11-01,1213.550049,1219.699951,1192.000000,1205.199951,1188.072510,44670
2019-11-04,1219.000000,1219.000000,1190.300049,1211.500000,1194.283081,47130
2019-11-05,1219.900024,1225.000000,1192.300049,1211.400024,1194.184570,44139
2019-11-06,1218.000000,1236.000000,1194.849976,1211.900024,1194.677368,47975
2019-11-07,1222.949951,1228.400024,1180.099976,1202.949951,1185.854370,42077
2019-11-08,1197.949951,1204.000000,1176.599976,1191.050049,1174.123657,50407
2019-11-11,1190.000000,1229.000000,1182.800049,1210.800049,1193.593018,53225
2019-11-13,1220.800049,1279.800049,1214.000000,1252.900024,1235.094727,48758
2019-11-14,1320.000000,1420.000000,1320.000000,1337.199951,1318.196655,171252
2019-11-15,1346.000000,1357.300049,1310.000000,1317.699951,1298.973877,53414
2019-11-18,1329.699951,1333.849976,1277.000000,1298.150024,1279.701782,48606
2019-11-19,1298.000000,1358.800049,1294.949951,1340.199951,1321.154053,59491
2019-11-20,1350.000000,1350.000000,1319.300049,1324.699951,1305.874268,45292
2019-11-21,1337.599976,1339.000000,1301.300049,1312.400024,1293.749146,44203
2019-11-22,1319.400024,1358.949951,1297.099976,1346.199951,1327.068848,47431
2019-11-25,1359.000000,1375.000000,1320.000000,1330.099976,1311.197510,45818
2019-11-26,1323.650024,1417.800049,1319.300049,1374.449951,1354.917358,70910
2019-11-27,1388.000000,1415.000000,1355.000000,1396.949951,1377.097656,55246
2019-11-28,1410.000000,1424.000000,1365.199951,1377.449951,1357.874756,63666
